ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
82226,SODIUM HYDROXYPROPYLPHOSPHATE LAURYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Hydroxypropylphosphate Laurylglucoside Crosspolymer is the crosslinked polymer formed by the reaction of laurylglucoside with 1,3-dichloro-2-propanol, followed by reaction with bis(3-chloro-2-hydroxypropyl)phosphate",,"CLEANSING, EMULSIFYING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),58,5,1,Non
83520,SODIUM HYDROXYPROPYLSULFONATE COCOGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Hydroxypropylsulfonate Cocoglucoside Crosspolymer is the crosslinked polymer formed by the reaction of Coco-Glucoside with 1,3-dichloro-2-propanol, and sulfonated with 3-chloro-2-hydroxypropyl sulfonate; Glucopyranose oligomers, coco-alkyl glycosides, polymers with 1,3-chloro-2-propanol, ethers with sodium 3-chloro-2-hydroxysulfonate",,"CLEANSING, EMULSIFYING, FOAM BOOSTING, HYDROTROPE, SKIN CONDITIONING",15/10/2010,Tensioactif,Polymère,Longue (51-100),56,5,1,Non
82225,SODIUM HYDROXYPROPYLSULFONATE DECYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Hydroxypropylsulfonate Decylglucoside Crosspolymer is the crosslinked polymer formed by the reaction of decylglucoside with 1,3-dichloro-2-propanol and sulfonated with 3-chloro-2-hydroxypropyl sulfonate",,"CLEANSING, EMULSIFYING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),57,5,1,Non
82227,SODIUM HYDROXYPROPYLSULFONATE LAURYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Hydroxypropylsulfonate Laurylglucoside Crosspolymer is the crosslinked polymer formed by the reaction of laurylglucoside with 1,3-dichloro-2-propanol and sulfonated with 3-chloro-2-hydroxypropyl sulfonate",,"CLEANSING, EMULSIFYING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),58,5,1,Non
79569,SODIUM ISOOCTYLENE/MA COPOLYMER,,,,,"1-Isooctene, polymer with 2,5-furandione, hydrolyzed, sodium salts",,"BINDING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),31,3,2,Oui
83649,SODIUM LANETH-40 MALEATE/STYRENE SULFONATE COPOLYMER,,,,,Sodium Laneth-40 Maleate/Styrene Sulfonate Copolymer is the copolymer of sodium laneth-40 maleate and styrene sulfonate monomers,,"FILM FORMING, HAIR FIXING, HAIR WAVING OR STRAIGHTENING",15/10/2010,Agent filmogène,Polymère,Longue (51-100),52,3,2,Oui
37951,SODIUM MA/DIISOBUTYLENE COPOLYMER,,,37199-81-8,*609-343-6,"2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt; Sodium MA/Diisobutylene Copolymer is the sodium salt of a copolymer of maleic anhydride and diisobutylene monomers",,FILM FORMING,15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),33,1,2,Oui
59281,SODIUM MA/VINYL ALCOHOL COPOLYMER,,,139871-83-3,,"Maleic anhydride and vinyl alcohol copolymer, sodium salt",,"BINDING, FILM FORMING",15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),33,2,2,Oui
88619,SODIUM MALEATE DECYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Maleate Decylglucoside Crosspolymer is the crosslinked polymer formed by the reaction of Decyl Glucoside with 1,3-dichloro-2-propanol, which is then reacted with maleic anhdride",,"CLEANSING, FOAM BOOSTING",15/12/2011,Tensioactif,Polymère,Moyenne (26-50),42,2,1,Non
88626,SODIUM MALEATE LAURYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Maleate Laurylglucoside Crosspolymer is the the crosslinked polymer formed by the reaction of Lauryl Glucoside with 1,3-dichloro-2-propanol, which is then reacted with maleic anhdride and partially neutralized by sodium hydroxide.",,"CLEANSING, FOAM BOOSTING, SURFACTANT",15/12/2011,Tensioactif,Polymère,Moyenne (26-50),43,3,1,Non
37959,SODIUM METHACRYLATE/STYRENE COPOLYMER,,,33970-45-5,,"2-Propenoic acid, 2-methyl-, sodium salt, polymer with ethenylbenzene",,OPACIFYING,15/10/2010,Autre,Polymère,Moyenne (26-50),37,1,2,Oui
86934,SODIUM METHOXY PEG-16 MALEATE/STYRENE SULFONATE COPOLYMER,,,,,Sodium Methoxy PEG-16 Maleate/Styrene Sulfonate Copolymer is a copolymer of sodium methoxy PEG-16 maleate and styrene sulfonate monomers,,"FILM FORMING, HAIR FIXING, HAIR WAVING OR STRAIGHTENING",15/10/2010,Agent filmogène,Polymère,Longue (51-100),57,3,2,Oui
