parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89130,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT EXTRACT,,Autre,,2,5,ENTEROCOCCUS FAECIUM,Molécule chimique,Courte (16-25),20,Autre
89130,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT EXTRACT,,Autre,,3,5,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Autre
89130,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT EXTRACT,,Autre,,4,5,STREPTOCOCCUS THERMOPHILUS,Molécule chimique,Moyenne (26-50),26,Autre
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,1,6,BIFIDA,Molécule chimique,Très courte (≤15),6,Humectant
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,2,6,ENTEROCOCCUS FAECIUM,Molécule chimique,Courte (16-25),20,Humectant
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,3,6,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Humectant
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,4,6,STREPTOCOCCUS THERMOPHILUS,Molécule chimique,Moyenne (26-50),26,Humectant
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,5,6,SOYMILK,Molécule chimique,Très courte (≤15),7,Humectant
83249,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT CURD,HUMECTANT,Humectant,,6,6,NONFAT MILK FERMENT CURD,Molécule chimique,Courte (16-25),24,Humectant
83248,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT EXTRACT,SKIN PROTECTING,Autre,,1,6,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
83248,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT EXTRACT,SKIN PROTECTING,Autre,,2,6,ENTEROCOCCUS FAECIUM,Molécule chimique,Courte (16-25),20,Autre
83248,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT EXTRACT,SKIN PROTECTING,Autre,,3,6,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Autre
83248,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT EXTRACT,SKIN PROTECTING,Autre,,4,6,STREPTOCOCCUS THERMOPHILUS,Molécule chimique,Moyenne (26-50),26,Autre
83248,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK/NONFAT MILK FERMENT EXTRACT,SKIN PROTECTING,Autre,,5,6,SOYMILK,Molécule chimique,Très courte (≤15),7,Autre
82667,BIFIDA/HYDROLYZED MILK/LACTOSE/SODIUM ASCORBATE/SILICON FERMENT FILTRATE,HUMECTANT,Humectant,,1,5,BIFIDA,Molécule chimique,Très courte (≤15),6,Humectant
82667,BIFIDA/HYDROLYZED MILK/LACTOSE/SODIUM ASCORBATE/SILICON FERMENT FILTRATE,HUMECTANT,Humectant,,2,5,HYDROLYZED MILK,Molécule chimique,Très courte (≤15),15,Humectant
82667,BIFIDA/HYDROLYZED MILK/LACTOSE/SODIUM ASCORBATE/SILICON FERMENT FILTRATE,HUMECTANT,Humectant,,3,5,LACTOSE,Molécule chimique,Très courte (≤15),7,Humectant
82667,BIFIDA/HYDROLYZED MILK/LACTOSE/SODIUM ASCORBATE/SILICON FERMENT FILTRATE,HUMECTANT,Humectant,,4,5,SODIUM ASCORBATE,Molécule chimique,Courte (16-25),16,Humectant
82667,BIFIDA/HYDROLYZED MILK/LACTOSE/SODIUM ASCORBATE/SILICON FERMENT FILTRATE,HUMECTANT,Humectant,,5,5,SILICON FERMENT FILTRATE,Molécule chimique,Courte (16-25),24,Humectant
83254,BIFIDA/NONFAT MILK FERMENT LYSATE FILTRATE,SKIN CONDITIONING,Autre,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
83254,BIFIDA/NONFAT MILK FERMENT LYSATE FILTRATE,SKIN CONDITIONING,Autre,,2,2,NONFAT MILK FERMENT LYSATE FILTRATE,Molécule chimique,Moyenne (26-50),35,Autre
86082,BIFIDA/PAECILOMYCES JAPONICA MYCELIUM/PANAX GINSENG ROOT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,1,3,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
86082,BIFIDA/PAECILOMYCES JAPONICA MYCELIUM/PANAX GINSENG ROOT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,2,3,PAECILOMYCES JAPONICA MYCELIUM,Molécule chimique,Moyenne (26-50),30,Autre
88305,BIFIDA/PANAX GINSENG ROOT CELL CULTURE EXTRACT FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, NAIL CONDITIONING, ORAL CARE, SKIN CONDITIONING, SKIN PROTECTING",Conservateur,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Conservateur
86080,BIFIDA/PANAX GINSENG ROOT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
87052,BIFIDA/SCUTELLARIA BAICALENSIS ROOT EXTRACT FERMENT LYSATE EXTRACT FILTRATE,SKIN CONDITIONING,Autre,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
54766,BIFIDA/SOYBEAN EXTRACT FERMENT,"HUMECTANT, SKIN CONDITIONING",Humectant,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Humectant
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,1,9,BIOTIN,Molécule chimique,Très courte (≤15),6,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,3,9,CYANOCOBALAMIN,Molécule chimique,Très courte (≤15),14,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,4,9,NIACINAMIDE,Molécule chimique,Très courte (≤15),11,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,6,9,PYRIDOXINE,Molécule chimique,Très courte (≤15),10,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,7,9,RIBOFLAVIN,Molécule chimique,Très courte (≤15),10,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,8,9,THIAMINE,Molécule chimique,Très courte (≤15),8,Autre
82864,BIS(GLYCIDOXYPHENYL)PROPANE/BISAMINOMETHYLNORBORNANE COPOLYMER,FILM FORMING,Agent filmogène,,1,2,BIS(GLYCIDOXYPHENYL)PROPANE,Molécule chimique,Moyenne (26-50),27,Filmogène
87043,BIS(HEXYLDECYL/OCTYLDODECYL) LAUROYL GLUTAMATE,EMOLLIENT,Émollient / Conditioning,,1,2,BIS(HEXYLDECYL,Molécule chimique,Très courte (≤15),14,Émollient
87043,BIS(HEXYLDECYL/OCTYLDODECYL) LAUROYL GLUTAMATE,EMOLLIENT,Émollient / Conditioning,,2,2,OCTYLDODECYL) LAUROYL GLUTAMATE,Molécule chimique,Moyenne (26-50),31,Émollient
