parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
90470,KLUYVEROMYCES/LACTOBACILLUS/ADANSONIA DIGITATA SEED OIL/CALOPHYLLUM INOPHYLLUM SEED OIL/OLIVE SEED OIL/ORBIGNYA OLEIFERA SEED OIL/PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,7,ADANSONIA DIGITATA SEED OIL,Huile,Moyenne (26-50),27,Antioxydant
90470,KLUYVEROMYCES/LACTOBACILLUS/ADANSONIA DIGITATA SEED OIL/CALOPHYLLUM INOPHYLLUM SEED OIL/OLIVE SEED OIL/ORBIGNYA OLEIFERA SEED OIL/PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,4,7,CALOPHYLLUM INOPHYLLUM SEED OIL,Huile,Moyenne (26-50),31,Antioxydant
90470,KLUYVEROMYCES/LACTOBACILLUS/ADANSONIA DIGITATA SEED OIL/CALOPHYLLUM INOPHYLLUM SEED OIL/OLIVE SEED OIL/ORBIGNYA OLEIFERA SEED OIL/PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,5,7,OLIVE SEED OIL,Huile,Très courte (≤15),14,Antioxydant
90470,KLUYVEROMYCES/LACTOBACILLUS/ADANSONIA DIGITATA SEED OIL/CALOPHYLLUM INOPHYLLUM SEED OIL/OLIVE SEED OIL/ORBIGNYA OLEIFERA SEED OIL/PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,6,7,ORBIGNYA OLEIFERA SEED OIL,Huile,Moyenne (26-50),26,Antioxydant
90470,KLUYVEROMYCES/LACTOBACILLUS/ADANSONIA DIGITATA SEED OIL/CALOPHYLLUM INOPHYLLUM SEED OIL/OLIVE SEED OIL/ORBIGNYA OLEIFERA SEED OIL/PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,7,7,PHASEOLUS RADIATUS SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),44,Antioxydant
90600,KLUYVEROMYCES/LACTOBACILLUS/APRICOT KERNEL FERMENT OIL FILTRATE,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,APRICOT KERNEL FERMENT OIL FILTRATE,Huile,Moyenne (26-50),35,Antioxydant
90482,KLUYVEROMYCES/LACTOBACILLUS/ARTEMISIA PRINCEPS LEAF OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, BLEACHING, HAIR CONDITIONING, MASKING, SKIN CONDITIONING",Conservateur,,3,3,ARTEMISIA PRINCEPS LEAF OIL FERMENT FILTRATE,Huile,Moyenne (26-50),44,Conservateur
90494,KLUYVEROMYCES/LACTOBACILLUS/BRASSICA NAPUS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,BRASSICA NAPUS SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),40,Antioxydant
90492,KLUYVEROMYCES/LACTOBACILLUS/CAMELLIA JAPONICA SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,CAMELLIA JAPONICA SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),43,Antioxydant
90712,KLUYVEROMYCES/LACTOBACILLUS/CAMELLIA JAPONICA SEED OIL/CAMPHOR BARK EXTRACT FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Conservateur,,3,4,CAMELLIA JAPONICA SEED OIL,Huile,Moyenne (26-50),26,Conservateur
90478,KLUYVEROMYCES/LACTOBACILLUS/CINNAMOMUM CAMPHORA BARK OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",Conservateur,,3,3,CINNAMOMUM CAMPHORA BARK OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Conservateur
90474,KLUYVEROMYCES/LACTOBACILLUS/CNIDIUM OFFICINALE ROOT OIL FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,CNIDIUM OFFICINALE ROOT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),44,Antioxydant
90487,KLUYVEROMYCES/LACTOBACILLUS/EVENING PRIMROSE FLOWER OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,EVENING PRIMROSE FLOWER OIL FERMENT FILTRATE,Huile,Moyenne (26-50),44,Antioxydant
90475,KLUYVEROMYCES/LACTOBACILLUS/HIPPOPHAE RHAMNOIDES OIL FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,HIPPOPHAE RHAMNOIDES OIL FERMENT FILTRATE,Huile,Moyenne (26-50),41,Antioxydant
90481,KLUYVEROMYCES/LACTOBACILLUS/JUNIPERUS COMMUNIS FRUIT OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, BLEACHING, SKIN CONDITIONING",Antioxydant,,3,3,JUNIPERUS COMMUNIS FRUIT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Antioxydant
90480,KLUYVEROMYCES/LACTOBACILLUS/LYCIUM CHINENSE FRUIT OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,LYCIUM CHINENSE FRUIT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),42,Antioxydant
90477,KLUYVEROMYCES/LACTOBACILLUS/MACHILUS THUNBERGII BARK OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,MACHILUS THUNBERGII BARK OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Antioxydant
90486,KLUYVEROMYCES/LACTOBACILLUS/NELUMBO NUCIFERA SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,NELUMBO NUCIFERA SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),42,Antioxydant
