ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
54472,ANGELICA GIGAS ROOT EXTRACT,,,,,"Angelica Gigas Root Extract is an extract of the roots of Angelica gigas, Apiaceae",,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),27,3,1,Non
82754,ANIGOZANTHOS MANGLESII FLOWER EXTRACT,,,,,"Anigozanthos Manglesii Flower Extract is the extract of the flowers of Anigozanthos manglesii, Haemodoraceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),37,2,1,Non
74350,APRICOTAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,,115340-78-8,,"1-Propanaminium, 3-amino-N-ethyl-N,N-dimethyl-, N-apricot-oil-acyl derivs., ethyl sulfates",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),44,3,1,Non
84920,ARACHIS HYPOGAEA FRUIT EXTRACT,,,8002-03-7,232-296-4,"Arachis Hypogaea Fruit Extract is the extract of the fruit of the Peanut, Arachis Hypogaea L., Fabaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),30,2,1,Non
54573,ARCTIUM LAPPA SEED EXTRACT,,,84012-13-5,281-658-8,"Arctium Lappa Seed Extract is an extract of the seeds of the Burdock, Arctium lappa L., Asteraceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),26,2,1,Non
74314,ARGININE,arginine,,74-79-3/7200-25-1,200-811-1/230-571-3,L-Arginine,,"ANTISTATIC, HAIR CONDITIONING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Très courte (≤15),8,4,1,Non
31982,ARGININE ASPARTATE,,,7675-83-4,231-656-8,"L-aspartic acid, compound with L-arginine (1:1)",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),18,2,1,Non
74317,ARGININE GLUTAMATE,arginine glutamate,,4320-30-3,224-350-0,L-Arginine L-glutamate (1:1),,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),18,2,1,Non
86675,ARGININE PORPHYRA YEZOENSIS EXTRACT,,,,,Arginine Porphyra Yezoensis Extract is the arginine salt of Porphyra Yezoensis Extract,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),35,2,1,Non
86359,ARONIA ARBUTIFOLIA EXTRACT,,,,,"Aronia Arbutifolia Extract is the extract of the whole plant, Aronia arbutifolia (L.), Rosaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),26,2,1,Non
89895,ARTEMISIA MONTANA LEAF WATER,,,,,"Artemisia Montana Leaf Water is an aqueous solution of the steam distillate obtained from the leaves of Artemisia montana, Asteraceae.",,"HAIR CONDITIONING, SKIN CONDITIONING",29/04/2013,Soin capillaire,Eau / Hydrolat,Moyenne (26-50),28,2,1,Non
74335,ASPARAGINE,,,70-47-3/3130-87-8,200-735-9/221-521-1,L-Asparagine,,"ANTISTATIC, HAIR CONDITIONING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Très courte (≤15),10,4,1,Non
54539,ASPARAGUS COCHINCHINENSIS ROOT EXTRACT,,,,,"Asparagus Cochinchinensis Root Extract is the extract of the roots of Asparagus cochinchinensis, Liliaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),38,2,1,Non
74340,ASPARTIC ACID,aspartic acid,,56-84-8/617-45-8,200-291-6/210-513-3,Aspartic acid,,"ANTISTATIC, HAIR CONDITIONING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Acide,Très courte (≤15),13,4,1,Non
54545,ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT,,,,,"Aspergillus/Castanea Crenata Pellicle Ferment Extract is an extract of the product obtained by the fermentation of the pellicle of Castanea crenata by the microorganism, Aspergillus",,"HAIR CONDITIONING, SKIN CONDITIONING",13/11/2010,Soin capillaire,Extrait,Longue (51-100),53,2,2,Oui
83136,ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT FILTRATE,,,,,"Aspergillus/Castanea Crenata Pellicle Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Castanea crenata pellicle by the microorganism, Aspergillus",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Longue (51-100),62,2,2,Oui
90227,ASPERGILLUS/SOYBEAN GERM FERMENT FILTRATE,,,,,"Aspergillus/Soybean Germ Ferment Filtrate is a filtrate of the product obtained by the fermentation of the germ of Glycine max (soybean) by the microorganism, Aspergillus.",,"HAIR CONDITIONING, SKIN CONDITIONING",29/04/2013,Soin capillaire,Molécule chimique,Moyenne (26-50),41,2,2,Oui
85342,ASTER TRIPOLIUM EXTRACT,,,89957-78-8,289-597-9,"Aster Tripolium Extract is the extract of the whole plant, Aster tripolium L., Asteraceae",,"HAIR CONDITIONING, SKIN PROTECTING",15/10/2010,Soin capillaire,Extrait,Courte (16-25),23,2,1,Non
86668,ASTRAGALUS KORAIENSIS ROOT EXTRACT,,,,,"Astragalus Koraiensis Root Extract is the extract of the roots of Astragalus koraiensis, Fabaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),34,2,1,Non
91689,AVENA SATIVA SEED EXTRACT,,,,,"Avena Sativa (Oat) Seed Extract is the extract of the seeds of the oat, Avena sativa, Poaceae.",,"HAIR CONDITIONING, SKIN CONDITIONING",03/12/2014,Soin capillaire,Extrait,Courte (16-25),25,2,1,Non
32041,AVOCADAMIDOPROPALKONIUM CHLORIDE,,,124046-04-4,,"1-Propanaminium, N,N-dimethyl-N-phenylmethyl-3-[(1-oxoavocado)amino]-, chloride",,ANTISTATIC,15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),32,1,1,Non
32043,AVOCADAMIDOPROPYL DIMETHYLAMINE,,,226994-25-8,,"Amides, avocado oil, N-[3-(dimethylamino)propyl]-",,ANTISTATIC,15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),31,1,1,Non
90746,AZELAIC ACID/POLYGLYCERYL-3 COPOLYMER,,,,,Azelaic Acid/Polyglyceryl-3 Copolymer is a copolymer produced by the equimolar mixture of Polyglycerin-3 and Azelaic Acid.,,HAIR CONDITIONING,29/04/2013,Soin capillaire,Polymère,Moyenne (26-50),37,1,2,Oui
90231,AZELAOYL PENTAPEPTIDE-37,,,,,Azelaoyl Pentapeptide-37 is the product obtained by the reaction of Azelaic Acid and Pentapeptide-37.,,"HAIR CONDITIONING, SKIN PROTECTING",29/04/2013,Soin capillaire,Peptide,Courte (16-25),24,2,1,Non
90759,AZELAOYL TETRAPEPTIDE-32,,,,,Azelaoyl Tetrapeptide-32 is the product obtained by the reaction of Azelaic Acid and Tetrapeptide-32.,,"HAIR CONDITIONING, SKIN PROTECTING",29/04/2013,Soin capillaire,Peptide,Courte (16-25),24,2,1,Non
