parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
83789,BIS-LAURYLDIMONIUMHYDROXYETHYL BROMIDE (PEG-220/SMDI COPOLYMER),VISCOSITY CONTROLLING,Agent de viscosité,435327-16-8,1,2,BIS-LAURYLDIMONIUMHYDROXYETHYL BROMIDE (PEG-220,PEG/PPG,Moyenne (26-50),47,Agent de viscosité
86723,BIS-METHOXY PEG-10 DIMETHYL MEA/HDI/BIS-PEG-10 DIMETHICONE COPOLYMER,HAIR CONDITIONING,Soin capillaire,,1,3,BIS-METHOXY PEG-10 DIMETHYL MEA,PEG/PPG,Moyenne (26-50),31,Soin capillaire
86595,BIS-METHOXY PEG-13 PEG-438/PPG-110 SMDI COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,2,BIS-METHOXY PEG-13 PEG-438,PEG/PPG,Moyenne (26-50),26,Agent de viscosité
86604,BIS-METHOXY PEG-13 PEG-502/PPG-57/SMDI COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,3,BIS-METHOXY PEG-13 PEG-502,PEG/PPG,Moyenne (26-50),26,Agent de viscosité
86604,BIS-METHOXY PEG-13 PEG-502/PPG-57/SMDI COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,2,3,PPG-57,PEG/PPG,Très courte (≤15),6,Agent de viscosité
90593,BIS-PEG-1 DIMETHICONE/PPG-26/IPDI COPOLYMER,"EMOLLIENT, FILM FORMING, SKIN CONDITIONING",Émollient / Conditioning,,2,3,PPG-26,PEG/PPG,Très courte (≤15),6,Émollient
54704,BIS-PEG/PPG-14/14 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,2,3,PPG-14,PEG/PPG,Très courte (≤15),6,Tensioactif
86479,BIS-PEG/PPG-15/5 DIMETHICONE,"EMULSION STABILISING, HUMECTANT",Émulsifiant,,2,3,PPG-15,PEG/PPG,Très courte (≤15),6,Émulsifiant
54705,BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,2,5,PPG-16,PEG/PPG,Très courte (≤15),6,Tensioactif
54705,BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,4,5,PPG-16,PEG/PPG,Très courte (≤15),6,Tensioactif
83262,BIS-PEG/PPG-18/6 DIMETHICONE,"EMOLLIENT, EMULSIFYING",Émulsifiant,,2,3,PPG-18,PEG/PPG,Très courte (≤15),6,Émulsifiant
54706,BIS-PEG/PPG-20/20 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,2,3,PPG-20,PEG/PPG,Très courte (≤15),6,Tensioactif
86722,BIS-PEG/PPG-20/5 PEG/PPG-20/5 DIMETHICONE,"EMULSIFYING, EMULSION STABILISING",Émulsifiant,,2,5,PPG-20,PEG/PPG,Très courte (≤15),6,Émulsifiant
86722,BIS-PEG/PPG-20/5 PEG/PPG-20/5 DIMETHICONE,"EMULSIFYING, EMULSION STABILISING",Émulsifiant,,4,5,PPG-20,PEG/PPG,Très courte (≤15),6,Émulsifiant
89789,BIS-STEARYL PEG/PPG-8/6 SMDI/PEG-400 COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,2,4,PPG-8,PEG/PPG,Très courte (≤15),5,Agent de viscosité
85028,BISAMINO PEG/PPG-41/3 AMINOETHYL PG-PROPYL DIMETHICONE,HAIR CONDITIONING,Soin capillaire,,2,3,PPG-41,PEG/PPG,Très courte (≤15),6,Soin capillaire
90740,C18-22 ALKYL PEG-25 METHACRYLATE/DIETHYLAMINOETHYL METHACRYLATE COPOLYMER,"EMULSION STABILISING, SURFACTANT, VISCOSITY CONTROLLING",Tensioactif,,1,2,C18-22 ALKYL PEG-25 METHACRYLATE,PEG/PPG,Moyenne (26-50),32,Tensioactif
93359,C8-12 ALKYL GLUCOSIDYL HYDROXYCYCLOHEXYLETHYL PEG-18/PPG-6 DIMETHICONE,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,1,2,C8-12 ALKYL GLUCOSIDYL HYDROXYCYCLOHEXYLETHYL PEG-18,PEG/PPG,Longue (51-100),52,Soin capillaire
74817,CAPRYLIC/CAPRIC TRIGLYCERIDE PEG-4 ESTERS,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,246864-39-1,2,2,CAPRIC TRIGLYCERIDE PEG-4 ESTERS,PEG/PPG,Moyenne (26-50),32,Tensioactif
87144,CERAMIDE NS/PEG-8/SUCCINIC ACID COPOLYMER,"EMULSION STABILISING, HAIR CONDITIONING, SKIN CONDITIONING",Émulsifiant,,2,3,PEG-8,PEG/PPG,Très courte (≤15),5,Émulsifiant
55251,CETYL PEG/PPG-10/1 DIMETHICONE,"EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,2,3,PPG-10,PEG/PPG,Très courte (≤15),6,Tensioactif
55252,CETYL PEG/PPG-15/15 BUTYL ETHER DIMETHICONE,"EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,2,3,PPG-15,PEG/PPG,Très courte (≤15),6,Tensioactif
55253,CETYL PEG/PPG-7/3 DIMETHICONE,"EMULSIFYING, EMULSION STABILISING, SURFACTANT",Tensioactif,,2,3,PPG-7,PEG/PPG,Très courte (≤15),5,Tensioactif
90252,DI-PEG-2 SOYAMINE/POLYDIETHYLENEGLYCOL ADIPATE/IPDI COPOLYMER,"FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING",Agent filmogène,,1,3,DI-PEG-2 SOYAMINE,PEG/PPG,Courte (16-25),17,Filmogène
55844,DIETHYLENE GLYCOL/DMAP ACRYLAMIDE/PEG-180/HDI COPOLYMER,"HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Soin capillaire,,3,4,PEG-180,PEG/PPG,Très courte (≤15),7,Soin capillaire
55752,DIMETHICONE PEG/PPG-12/4 PHOSPHATE,"CLEANSING, EMULSIFYING, SURFACTANT",Tensioactif,,2,3,PPG-12,PEG/PPG,Très courte (≤15),6,Tensioactif
55753,DIMETHICONE PEG/PPG-20/23 BENZOATE,SKIN CONDITIONING,Autre,,2,3,PPG-20,PEG/PPG,Très courte (≤15),6,Autre
