parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
39493,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE/FORMIC ACID/BORON TRIFLUORIDE",PERFUMING,Fragrance / Parfum,68855-38-9,1,3,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE",Molécule chimique,Longue (51-100),56,Fragrance / Parfum
93225,DIISOPROPANOLAMINE/METHYLHEXAHYDROPHTHALIC ANHYDRIDE ETHYLHEXANOATE COPOLYMER,FILM FORMING,Agent filmogène,1590416-18-4,2,2,METHYLHEXAHYDROPHTHALIC ANHYDRIDE ETHYLHEXANOATE COPOLYMER,Polymère,Longue (51-100),58,Filmogène
93369,DIISOPROPANOLAMINE/METHYLHEXAHYDROPHTHALIC ANHYDRIDE NONANOATE COPOLYMER,FILM FORMING,Agent filmogène,,2,2,METHYLHEXAHYDROPHTHALIC ANHYDRIDE NONANOATE COPOLYMER,Polymère,Longue (51-100),53,Filmogène
56079,ETHYLENEDIAMINE/DIMER TALLATE COPOLYMER BIS-HYDROGENATED TALLOW AMIDE,"ORAL CARE, SKIN CONDITIONING, VISCOSITY CONTROLLING",Agent de viscosité,,2,2,DIMER TALLATE COPOLYMER BIS-HYDROGENATED TALLOW AMIDE,Polymère,Longue (51-100),53,Agent de viscosité
56080,ETHYLENEDIAMINE/HYDROGENATED DIMER DILINOLEATE COPOLYMER BIS-DI-C14-18 ALKYL AMIDE,"ORAL CARE, SKIN CONDITIONING, VISCOSITY CONTROLLING",Agent de viscosité,,2,2,HYDROGENATED DIMER DILINOLEATE COPOLYMER BIS-DI-C14-18 ALKYL AMIDE,Polymère,Longue (51-100),66,Agent de viscosité
56196,GLYCERIN/PHTHALIC ACID COPOLYMER HYDROXYPROPYL C9-11 ISOALKYL ACIDATE,EMOLLIENT,Émollient / Conditioning,,2,2,PHTHALIC ACID COPOLYMER HYDROXYPROPYL C9-11 ISOALKYL ACIDATE,Polymère,Longue (51-100),60,Émollient
92912,GLYCIDOXYPROPYL TRIMETHOXYSILANE/PEI-250 CROSSPOLYMER FLUORESCENT BRIGHTENER 230 SALT,"COSMETIC COLORANT, OPACIFYING",Colorant,,2,2,PEI-250 CROSSPOLYMER FLUORESCENT BRIGHTENER 230 SALT,Polymère,Longue (51-100),52,Colorant
86736,GLYCIDOXYPROPYL TRIMETHYLOXYSILANE/PEI-250 CROSSPOLYMER FLUORESCENT BRIGHTENER 230 SALT,OPACIFYING,Autre,,2,2,PEI-250 CROSSPOLYMER FLUORESCENT BRIGHTENER 230 SALT,Polymère,Longue (51-100),52,Autre
90018,GRIFOLA FRONDOSA ROOT/RICE SEED/CITRUS UNSHIU PEEL/CARTHAMUS TINCTORIUS FLOWER FERMENT FILTRATE EXTRACT,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,4,4,CARTHAMUS TINCTORIUS FLOWER FERMENT FILTRATE EXTRACT,Extrait,Longue (51-100),52,Émollient
85193,ISOPROPYL TITANIUM TRIISOSTEARATE/TRIETHOXYSILYLETHYL POLYDIMETHYLSILOXYETHYL DIMETHICONE CROSSPOLYMER,SURFACTANT,Tensioactif,,2,2,TRIETHOXYSILYLETHYL POLYDIMETHYLSILOXYETHYL DIMETHICONE CROSSPOLYMER,Silicone,Longue (51-100),68,Tensioactif
