parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
93160,3-LAURYL/TRIDECYLGLYCERYL ASCORBATE,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",Humectant,,2,2,TRIDECYLGLYCERYL ASCORBATE,Molécule chimique,Moyenne (26-50),26,Humectant
54206,"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",FILM FORMING,Agent filmogène,25068-38-6,1,2,"4,4'-ISOPROPYLIDENEDIPHENOL",Molécule chimique,Moyenne (26-50),27,Filmogène
54206,"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",FILM FORMING,Agent filmogène,25068-38-6,2,2,EPICHLOROHYDRIN COPOLYMER,Polymère,Courte (16-25),25,Filmogène
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",NAIL CONDITIONING,Soin ongles,,1,2,"4,4'-ISOPROPYLIDENEDIPHENYL",Molécule chimique,Moyenne (26-50),27,Soin ongles
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",NAIL CONDITIONING,Soin ongles,,2,2,EPICHLOROHYDRIN COPOLYMER DIACRYLATE,Polymère,Moyenne (26-50),36,Soin ongles
40280,"7-HYDROXY-3,7-DIMETHYL-OCTANAL/INDOLE",PERFUMING,Fragrance / Parfum,68908-82-7,1,2,"7-HYDROXY-3,7-DIMETHYL-OCTANAL",Molécule chimique,Moyenne (26-50),30,Fragrance / Parfum
40280,"7-HYDROXY-3,7-DIMETHYL-OCTANAL/INDOLE",PERFUMING,Fragrance / Parfum,68908-82-7,2,2,INDOLE,Molécule chimique,Très courte (≤15),6,Fragrance / Parfum
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,MASKING,Autre,,1,3,ABIES CONCOLOR BRANCH,Molécule chimique,Courte (16-25),21,Autre
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,MASKING,Autre,,2,3,LEAF,Botanique,Très courte (≤15),4,Autre
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,MASKING,Autre,,3,3,WOOD OIL,Huile,Très courte (≤15),8,Autre
83319,ABIES SACHALINENSIS BRANCH/LEAF WATER,MASKING,Autre,,1,2,ABIES SACHALINENSIS BRANCH,Molécule chimique,Moyenne (26-50),26,Autre
83319,ABIES SACHALINENSIS BRANCH/LEAF WATER,MASKING,Autre,,2,2,LEAF WATER,Eau / Hydrolat,Très courte (≤15),10,Autre
83312,ACACIA CATECHU LEAF/WOOD POWDER,SKIN CONDITIONING,Autre,8001-76-1,1,2,ACACIA CATECHU LEAF,Botanique,Courte (16-25),19,Autre
83312,ACACIA CATECHU LEAF/WOOD POWDER,SKIN CONDITIONING,Autre,8001-76-1,2,2,WOOD POWDER,Molécule chimique,Très courte (≤15),11,Autre
82974,ACACIA DEALBATA FLOWER/STEM EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,165800-52-2,1,2,ACACIA DEALBATA FLOWER,Botanique,Courte (16-25),22,Autre
82974,ACACIA DEALBATA FLOWER/STEM EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,165800-52-2,2,2,STEM EXTRACT,Extrait,Très courte (≤15),12,Autre
